Trial,Dataset,nTrain,nFeatures,nTest,Model,Time,Accuracy (train),Accuracy (test),C,degree,gamma,kernel,Number of support vectors
1,gtzan,1000,57,8990,svc-from-scratch,50.9128,0.286,0.2864,0.001,1,1.0,linear,[ 217 205 227 225 225 219 204 203 215 227 ]
2,gtzan,1000,57,8990,sklearn,0.4684,0.429,0.4334,0.001,1,1.0,linear,[100 100 100 100 100 100 100 100 100 100]
3,gtzan,1000,57,8990,svc-from-scratch,47.1196,0.695,0.6049,1.0,1,1.0,linear,[ 210 117 227 225 225 219 156 151 209 227 ]
4,gtzan,1000,57,8990,sklearn,0.3774,0.734,0.6565,1.0,1,1.0,linear,[ 91  58  98  99  92  97  67  70  85 100]
5,gtzan,1000,57,8990,svc-from-scratch,35.636,0.804,0.6378,1000.0,1,1.0,linear,[ 160 52 238 309 202 141 80 83 175 211 ]
6,gtzan,1000,57,8990,sklearn,0.4707,0.982,0.6379,1000.0,1,1.0,linear,[69 42 80 79 68 61 45 55 71 84]
7,gtzan,1000,57,8990,svc-from-scratch,48.3266,0.897,0.7068,1.0,2,1.0,poly,[ 186 81 247 206 207 187 101 111 194 242 ]
8,gtzan,1000,57,8990,sklearn,0.3367,0.939,0.6934,1.0,2,1.0,poly,[80 49 88 86 81 79 52 55 69 95]
9,gtzan,1000,57,8990,svc-from-scratch,48.8364,1.0,0.7032,1.0,3,1.0,poly,[ 164 85 216 183 204 178 109 111 199 235 ]
10,gtzan,1000,57,8990,sklearn,0.3384,1.0,0.6938,1.0,3,1.0,poly,[79 51 88 84 78 80 52 55 76 92]
11,gtzan,1000,57,8990,svc-from-scratch,48.3337,1.0,0.7039,1.0,4,1.0,poly,[ 161 91 218 188 208 180 107 114 199 232 ]
12,gtzan,1000,57,8990,sklearn,0.3777,1.0,0.6956,1.0,4,1.0,poly,[83 54 89 84 78 83 54 57 73 93]
13,gtzan,1000,57,8990,svc-from-scratch,48.1752,0.931,0.7237,1.0,1,0.001,rbf,[ 289 200 303 247 305 283 198 228 261 313 ]
14,gtzan,1000,57,8990,sklearn,1.2443,0.429,0.4339,1.0,1,0.001,rbf,[100 100 100 100 100 100 100 100 100 100]
15,gtzan,1000,57,8990,svc-from-scratch,47.9555,0.931,0.7237,1.0,1,1.0,rbf,[ 289 200 303 247 305 283 198 228 261 313 ]
16,gtzan,1000,57,8990,sklearn,1.1336,0.883,0.7117,1.0,1,1.0,rbf,[ 97  73  99  96  98  98  68  85  91 100]
17,gtzan,1000,57,8990,svc-from-scratch,48.0755,0.931,0.7237,1.0,1,1000.0,rbf,[ 289 200 303 247 305 283 198 228 261 313 ]
18,gtzan,1000,57,8990,sklearn,1.6789,1.0,0.1165,1.0,1,1000.0,rbf,[100 100 100 100 100 100 100 100 100 100]
